timestamp,target_class,n_shot,num_epochs,batch_size,learning_rate,T_steps,unet_time_dim,ot_loss_weight,ot_guidance_weight,sinkhorn_epsilon,sinkhorn_n_iter,Baseline (No Guide) - FID,Baseline (No Guide) - KID,Baseline (No Guide) - SSIM,Baseline (No Guide) - PSNR,Baseline (No Guide) - Diversity (LPIPS),Baseline (OT Guide) - FID,Baseline (OT Guide) - KID,Baseline (OT Guide) - SSIM,Baseline (OT Guide) - PSNR,Baseline (OT Guide) - Diversity (LPIPS),OT-Trained (No Guide) - FID,OT-Trained (No Guide) - KID,OT-Trained (No Guide) - SSIM,OT-Trained (No Guide) - PSNR,OT-Trained (No Guide) - Diversity (LPIPS),OT-Trained (OT Guide) - FID,OT-Trained (OT Guide) - KID,OT-Trained (OT Guide) - SSIM,OT-Trained (OT Guide) - PSNR,OT-Trained (OT Guide) - Diversity (LPIPS)
2025-10-25 22:41:15,8,50,30,10,0.0002,400,32,0.1,2.0,0.01,50,339.06740326673014,0.4508545398712158,0.1313822716474533,8.024288177490234,0.3428424791170626,226.6105532339849,0.2281384468078613,0.4493264257907867,13.321675300598145,0.3201158845667936,319.71811648377536,0.412755012512207,0.1624197363853454,8.618346214294434,0.3340652705455313,199.60165609451496,0.1939978599548339,0.5255151987075806,13.74035358428955,0.3030328773114146
2025-10-25 22:57:19,8,50,3000,10,0.0002,400,32,0.1,2.0,0.01,50,52.51453032526862,0.0360472202301025,0.8755954504013062,26.7243881225586,0.2058839438566748,30.50280977495649,0.023360252380371,0.8369380235671997,27.1075382232666,0.2179177618695765,46.23241429228641,0.0267183780670166,0.8307353258132935,27.544551849365234,0.1734155937204403,24.895572529879374,0.0162434577941894,0.8446323871612549,28.013851165771484,0.214533454021629
2025-10-26 01:50:39,6,50,300,10,0.0002,400,32,0.1,2.0,0.01,50,107.86605507493312,0.0820186138153076,0.5747799873352051,14.62149143218994,0.2005023186364952,97.5662918129563,0.078834056854248,0.7264716029167175,19.41352653503418,0.2217590934585551,106.38471242546854,0.0933187007904052,0.635520339012146,16.07888412475586,0.1706075775471268,85.85397239481433,0.0671451091766357,0.7582629323005676,20.77305221557617,0.215570113829204
2025-10-26 02:10:37,4,50,300,10,0.0002,400,32,0.1,2.0,0.01,50,145.46482141040218,0.1233088970184326,0.5401771664619446,13.473031997680664,0.2575907255678761,100.04619687163012,0.0772314071655273,0.6908683776855469,18.20492553710937,0.2582404876241878,162.20471702924905,0.1848225593566894,0.5534684658050537,13.946070671081545,0.2664006655921741,148.09990911744163,0.1636137962341308,0.707926332950592,18.80624771118164,0.2733955284284086
2025-10-26 02:13:49,4,50,30,10,0.0002,400,32,0.1,2.0,0.01,50,307.34349939074514,0.3699605464935303,0.1950490027666092,11.73271656036377,0.3512713507486849,288.0871847708138,0.3416194915771484,0.3789273798465729,13.74120044708252,0.3086038687886024,411.050496158333,0.6259593963623047,0.0776387676596641,8.730156898498535,0.3134101439008907,254.352414356158,0.2988748550415039,0.3211319744586944,12.818769454956056,0.3081035372310755
2025-10-26 03:05:01,4,50,300,10,0.0002,400,32,0.1,2.0,0.01,50,145.46482141040218,0.1233088970184326,0.5401771664619446,13.473031997680664,0.2575907255678761,100.0434053807546,0.0772309303283691,0.6908684968948364,18.20493125915528,0.2582402948153262,162.20471702924905,0.1848225593566894,0.5534684658050537,13.946070671081545,0.2664006655921741,148.10325621820135,0.1636147499084472,0.7079251408576965,18.806209564208984,0.273395365805042
2025-10-26 03:19:00,4,50,3000,10,0.0002,400,32,0.1,2.0,0.01,50,49.7250128566088,0.0237741470336914,0.7567731142044067,25.98119735717773,0.1841732463312848,18.044655972650983,0.0049271583557128,0.8178392648696899,26.52859115600586,0.2294050019979477,49.49600201352469,0.0265848636627197,0.8173894882202148,27.59059715270996,0.2209269874178025,39.67718307914447,0.0271468162536621,0.8301966786384583,27.82794952392578,0.2372109387799793
2025-10-26 03:24:44,4,50,300,10,0.0002,400,32,0.1,1.0,0.01,50,145.46482141040218,0.1233088970184326,0.5401771664619446,13.473031997680664,0.2575907255678761,107.9053326254381,0.0853123664855957,0.6561862826347351,16.86127281188965,0.2593811815794633,162.20471702924905,0.1848225593566894,0.5534684658050537,13.946070671081545,0.2664006655921741,159.49334610300866,0.1861529350280761,0.6814504861831665,17.72874641418457,0.2744481139037074
2025-10-26 03:32:20,4,50,30,10,0.0002,400,32,0.1,1.0,0.01,50,307.34349939074514,0.3699605464935303,0.1950490027666092,11.73271656036377,0.3512713507486849,297.5779059778942,0.3513984680175781,0.3477484881877899,13.363120079040527,0.3186392370535403,411.050496158333,0.6259593963623047,0.0776387676596641,8.730156898498535,0.3134101439008907,291.2219846403833,0.3577265739440918,0.2500993907451629,11.744194984436035,0.3144122602136767
2025-10-26 03:35:40,4,50,30,10,0.0002,400,32,0.1,3.0,0.01,50,307.34349939074514,0.3699605464935303,0.1950490027666092,11.73271656036377,0.3512713507486849,276.95939293354166,0.318490982055664,0.3548634946346283,13.708306312561035,0.3201577633740951,411.050496158333,0.6259593963623047,0.0776387676596641,8.730156898498535,0.3134101439008907,242.0776829239568,0.2721126079559326,0.3501802086830139,13.274725914001465,0.3077171200513839
2025-10-26 03:39:09,4,50,30,10,0.0002,400,32,0.1,2.0,0.01,50,307.34349939074514,0.3699605464935303,0.1950490027666092,11.73271656036377,0.3512713507486849,285.909555380208,0.3433091640472412,0.3823486864566803,13.764022827148438,0.3059057660248814,411.050496158333,0.6259593963623047,0.0776387676596641,8.730156898498535,0.3134101439008907,254.5644509731385,0.298389196395874,0.3198496699333191,12.81597137451172,0.3077992714667806
2025-10-26 03:41:37,4,10,30,10,0.0002,400,32,0.1,2.0,0.01,50,342.5782808931473,0.433225154876709,0.0557902641594409,10.5137300491333,0.3819937460952335,327.44231952702887,0.3609094619750976,0.2578350305557251,12.22006130218506,0.3872472809420691,418.9777540746858,0.5858500003814697,0.0407945327460765,8.13553524017334,0.3567130744457245,328.1879253850008,0.3542778491973877,0.1705293506383896,11.529059410095217,0.3720649361610412
2025-10-26 03:44:05,4,16,30,10,0.0002,400,32,0.1,2.0,0.01,50,375.43413495720273,0.4878756999969482,0.079187273979187,11.197433471679688,0.3730065333346525,340.04894708592934,0.3906176090240478,0.2461472153663635,12.765410423278809,0.3663246375819047,438.1911288149904,0.6584482192993164,0.0420260354876518,6.96071195602417,0.3205484276016553,336.8687270621179,0.3926620483398437,0.2299371063709259,11.70797348022461,0.3560085306564967
2025-10-26 03:47:37,4,16,300,10,0.0002,400,32,0.1,2.0,0.01,50,288.84432541095435,0.2904624938964844,0.3792901039123535,11.241241455078123,0.2973744002481301,162.2431461893229,0.1346843242645263,0.6662093997001648,17.822994232177734,0.2722863089293241,285.65133326049124,0.3266911506652832,0.4076622724533081,11.335411071777344,0.2900770556181669,155.25768489566002,0.1397402286529541,0.6553707122802734,16.97601318359375,0.2909120097756386
2025-10-26 04:17:56,5,50,300,10,0.0002,400,32,0.1,2.0,0.01,50,110.72792322996716,0.1070559024810791,0.5781456828117371,14.129159927368164,0.2094235648306048,92.59067975937344,0.0902667045593261,0.6995741128921509,18.34638214111328,0.2608470028273913,83.38412043710176,0.0689477920532226,0.6104058027267456,16.01782989501953,0.1965962663323295,62.05494153988246,0.0473830699920654,0.7487528920173645,20.62350845336914,0.2479575572877514
2025-10-26 21:44:37,5,50,30,10,0.0002,400,32,0.1,2.0,0.01,50,312.8441001457336,0.3828725814819336,0.1787967383861541,9.765360832214355,0.3779626457788506,219.48595252510887,0.2153420448303222,0.4906712174415588,14.64141082763672,0.3245370853920372,291.3516041966385,0.3353133201599121,0.2365570813417434,9.794692039489746,0.3677389319818847,207.47978089927324,0.2213292121887207,0.5593526363372803,15.332018852233888,0.3098996197569127
2025-10-29 21:04:20,5,20,30,10,0.0002,400,32,0.1,2.0,0.01,50,384.98265942059993,0.4936954975128174,0.0916701853275299,9.17131233215332,0.3718235917781529,315.2979951418358,0.3406624794006347,0.3339981734752655,13.296747207641602,0.3518394939209285,339.96597165607704,0.4048242568969726,0.0837398245930671,11.08236598968506,0.3761517909012343,279.60958723645234,0.2708034515380859,0.3633441030979156,13.45536994934082,0.3414120961176721
2025-10-29 21:06:45,5,50,30,10,0.0002,400,32,0.1,2.0,0.01,50,312.8441001457336,0.3828725814819336,0.1787967383861541,9.765360832214355,0.3779626457788506,219.6665709100298,0.2156853675842285,0.490631639957428,14.64085292816162,0.3244881384105098,291.3516041966385,0.3353133201599121,0.2365570813417434,9.794692039489746,0.3677389319818847,207.45338317890383,0.2213292121887207,0.5592992901802063,15.33210277557373,0.3098905902006188
2025-10-29 21:10:30,5,100,30,10,0.0002,400,32,0.1,2.0,0.01,50,243.3777947715841,0.2853384017944336,0.2475587427616119,9.60086154937744,0.3597494497985551,186.82531399434936,0.2118551731109619,0.504002571105957,14.256004333496094,0.3127518206052105,254.906623408342,0.3088350296020508,0.2966507971286773,9.363991737365724,0.3492465267819588,186.426782590004,0.2179052829742431,0.5581843852996826,14.68100643157959,0.2824492799543371
2025-10-29 21:30:56,5,200,30,10,0.0002,400,32,0.1,2.0,0.01,50,200.42837903363449,0.2461366653442382,0.360839307308197,11.26995086669922,0.3276916545322492,127.97364042043824,0.1521542072296142,0.6084432005882263,16.011547088623047,0.2638549414816214,201.4220758493728,0.2667810916900635,0.4062647819519043,10.735358238220217,0.3019209306436268,116.60792380549402,0.1413550376892089,0.6432626247406006,16.47399139404297,0.265832671466934
2025-10-30 23:18:29,5,50,30,10,0.0002,400,32,0.1,2.0,0.01,50,312.8441001457336,0.3828725814819336,0.1787967383861541,9.765360832214355,0.3779626457788506,219.79508048758737,0.2157931327819824,0.4904671311378479,14.638815879821776,0.3245633207291973,291.3516041966385,0.3353133201599121,0.2365570813417434,9.794692039489746,0.3677389319818847,207.43233633408917,0.2213430404663086,0.5591815114021301,15.330206871032717,0.3098940683870899
2025-11-19 21:03:29,5,50,30,10,0.0002,400,32,0.1,2.0,0.01,50,312.8441001457336,0.3828725814819336,0.17879673838615417,9.765360832214355,0.37796264577885064,219.7500314750621,0.21592998504638672,0.49053260684013367,14.639514923095703,0.3244797574865575,291.3516041966385,0.3353133201599121,0.23655708134174347,9.794692039489746,0.3677389319818847,207.55925081504625,0.2214946746826172,0.5591122508049011,15.329734802246094,0.3099787453729279
